cin,col,cle,bos,sea,new,time,month,month_nr,year
101670.5,112900.0,99900.0,265000.0,255000.0,298000.0,2010-01-31,January,1,2010
99900.0,112777.0,100000.0,269000.0,255000.0,294602.5,2010-02-28,February,2,2010
99900.0,112000.0,102900.0,269900.0,250000.0,299000.0,2010-03-31,March,3,2010
99900.0,112777.0,101000.0,269000.0,250000.0,295000.0,2010-04-30,April,4,2010
98900.0,111527.5,99900.0,269000.0,249950.0,299900.0,2010-05-31,May,5,2010
99000.0,111900.0,99900.0,265000.0,249950.0,299000.0,2010-06-30,June,6,2010
94900.0,109900.0,99888.5,259900.0,249950.0,299000.0,2010-07-31,July,7,2010
99000.0,109900.0,99500.0,259900.0,249000.0,289900.0,2010-08-31,August,8,2010
99900.0,109900.0,98500.0,259900.0,245000.0,295000.0,2010-09-30,September,9,2010
98500.0,109900.0,95000.0,259000.0,239900.0,299000.0,2010-10-31,October,10,2010
98650.0,107700.0,95000.0,259900.0,229950.0,299000.0,2010-11-30,November,11,2010
94900.0,104500.0,89900.0,249900.0,224900.0,295000.0,2010-12-31,December,12,2010
94900.0,99900.0,89900.0,249900.0,214000.0,295000.0,2011-01-31,January,1,2011
94900.0,104900.0,89900.0,249350.0,209500.0,285000.0,2011-02-28,February,2,2011
94000.0,101700.0,89900.0,249900.0,200000.0,289999.0,2011-03-31,March,3,2011
93500.0,102515.0,89900.0,252000.0,190000.0,289000.0,2011-04-30,April,4,2011
94900.0,106000.0,89900.0,259900.0,189950.0,284900.0,2011-05-31,May,5,2011
94900.0,107000.0,89999.0,259900.0,189000.0,279900.0,2011-06-30,June,6,2011
94900.0,107000.0,92500.0,259000.0,185000.0,279000.0,2011-07-31,July,7,2011
94000.0,106850.0,92500.0,257900.0,185000.0,275000.0,2011-08-31,August,8,2011
92000.0,104900.0,89900.0,257500.0,189000.0,275000.0,2011-09-30,September,9,2011
94900.0,104900.0,89900.0,250000.0,179100.0,270000.0,2011-10-31,October,10,2011
93949.5,99999.0,89900.0,248000.0,174900.0,269800.0,2011-11-30,November,11,2011
93900.0,98000.0,89500.0,239900.0,169250.0,269900.0,2011-12-31,December,12,2011
94800.0,97900.0,89500.0,249000.0,165000.0,269000.0,2012-01-31,January,1,2012
90000.0,98000.0,89900.0,249900.0,165000.0,270000.0,2012-02-29,February,2,2012
92900.0,99900.0,89000.0,258000.0,173000.0,270000.0,2012-03-31,March,3,2012
92900.0,99900.0,89900.0,268500.0,179000.0,279000.0,2012-04-30,April,4,2012
94500.0,102399.5,89900.0,267000.0,189000.0,279000.0,2012-05-31,May,5,2012
94900.0,104900.0,89900.0,263500.0,194900.0,279000.0,2012-06-30,June,6,2012
94500.0,100000.0,89900.0,259000.0,196000.0,277500.0,2012-07-31,July,7,2012
94450.0,99900.0,89900.0,254900.0,194900.0,269999.0,2012-08-31,August,8,2012
91950.0,99000.0,85900.0,259000.0,195900.0,270000.0,2012-09-30,September,9,2012
89900.0,99000.0,85000.0,259000.0,190000.0,270000.0,2012-10-31,October,10,2012
89900.0,94949.5,85900.0,259000.0,189250.0,272000.0,2012-11-30,November,11,2012
89900.0,94417.0,84900.0,250000.0,180000.0,269000.0,2012-12-31,December,12,2012
89900.0,93500.0,80000.0,254900.0,184900.0,270000.0,2013-01-31,January,1,2013
89900.0,95000.0,82900.0,265000.0,191000.0,275000.0,2013-02-28,February,2,2013
89900.0,95900.0,84700.0,274900.0,199950.0,276990.0,2013-03-31,March,3,2013
92000.0,98500.0,87000.0,279900.0,215000.0,275000.0,2013-04-30,April,4,2013
93900.0,99900.0,89000.0,288000.0,225000.0,275000.0,2013-05-31,May,5,2013
90000.0,99900.0,89500.0,289900.0,230500.0,275000.0,2013-06-30,June,6,2013
89900.0,99900.0,88166.5,284900.0,234500.0,269990.0,2013-07-31,July,7,2013
89900.0,99900.0,85000.0,279000.0,229950.0,269900.0,2013-08-31,August,8,2013
89900.0,97250.0,84900.0,284900.0,236750.0,270000.0,2013-09-30,September,9,2013
91700.0,96900.0,84900.0,279900.0,235000.0,274700.0,2013-10-31,October,10,2013
91500.0,94900.0,83900.0,279900.0,225000.0,285000.0,2013-11-30,November,11,2013
90000.0,94700.0,82900.0,275000.0,220000.0,282700.0,2013-12-31,December,12,2013
90000.0,92500.0,81900.0,278800.0,214950.0,285000.0,2014-01-31,January,1,2014
89900.0,94900.0,84900.0,299000.0,218997.5,279000.0,2014-02-28,February,2,2014
94275.0,99900.0,87000.0,294995.0,225000.0,289000.0,2014-03-31,March,3,2014
94900.0,104500.0,89900.0,296999.0,235000.0,290000.0,2014-04-30,April,4,2014
96900.0,105000.0,89900.0,299000.0,234975.0,299000.0,2014-05-31,May,5,2014
99500.0,109900.0,89900.0,299000.0,249000.0,310000.0,2014-06-30,June,6,2014
97500.0,109900.0,89900.0,289900.0,249000.0,299900.0,2014-07-31,July,7,2014
97200.0,108000.0,89900.0,285000.0,245000.0,299900.0,2014-08-31,August,8,2014
97500.0,107000.0,89000.0,289900.0,249500.0,300000.0,2014-09-30,September,9,2014
99000.0,107500.0,85000.0,289000.0,240000.0,305000.0,2014-10-31,October,10,2014
99000.0,103000.0,84500.0,285000.0,239950.0,299999.0,2014-11-30,November,11,2014
97000.0,99900.0,79949.5,280000.0,230000.0,305000.0,2014-12-31,December,12,2014
95000.0,99900.0,79900.0,287000.0,229950.0,315000.0,2015-01-31,January,1,2015
95000.0,100000.0,79900.0,293900.0,239500.0,305000.0,2015-02-28,February,2,2015
94900.0,105900.0,84900.0,299900.0,248350.0,300000.0,2015-03-31,March,3,2015
99000.0,109900.0,85000.0,299900.0,250000.0,300000.0,2015-04-30,April,4,2015
99900.0,115000.0,85900.0,300000.0,256650.0,299000.0,2015-05-31,May,5,2015
98900.0,115900.0,87900.0,300000.0,259500.0,309000.0,2015-06-30,June,6,2015
99900.0,115000.0,86400.0,299900.0,259950.0,319000.0,2015-07-31,July,7,2015
100000.0,114900.0,88000.0,294900.0,260000.0,315000.0,2015-08-31,August,8,2015
107000.0,114900.0,85500.0,299000.0,265000.0,319990.0,2015-09-30,September,9,2015
102900.0,114650.0,84900.0,299900.0,265000.0,329000.0,2015-10-31,October,10,2015
104900.0,112950.0,84900.0,299900.0,260000.0,330000.0,2015-11-30,November,11,2015
100000.0,110000.0,82000.0,299900.0,255000.0,330000.0,2015-12-31,December,12,2015
105000.0,111900.0,83000.0,304900.0,250000.0,360000.0,2016-01-31,January,1,2016
104700.0,115000.0,84900.0,319000.0,262250.0,360000.0,2016-02-29,February,2,2016
104900.0,119999.5,89900.0,329900.0,279000.0,338900.0,2016-03-31,March,3,2016
109900.0,124900.0,94900.0,329900.0,295000.0,359000.0,2016-04-30,April,4,2016
109250.0,121900.0,98600.0,329900.0,299922.0,340000.0,2016-05-31,May,5,2016
107700.0,121900.0,97500.0,334900.0,299900.0,339000.0,2016-06-30,June,6,2016
109500.0,123000.0,94900.0,329900.0,299950.0,339000.0,2016-07-31,July,7,2016
104821.0,124000.0,92000.0,329900.0,299000.0,339000.0,2016-08-31,August,8,2016
105000.0,124900.0,92500.0,342750.0,299000.0,345941.5,2016-09-30,September,9,2016
107500.0,124900.0,92000.0,340000.0,299000.0,349000.0,2016-10-31,October,10,2016
108000.0,124900.0,90000.0,339900.0,290000.0,353900.0,2016-11-30,November,11,2016
105000.0,124500.0,89900.0,339900.0,289975.0,355967.5,2016-12-31,December,12,2016
105000.0,120000.0,92900.0,345000.0,295000.0,370000.0,2017-01-31,January,1,2017
109900.0,124900.0,94900.0,359900.0,306250.0,374900.0,2017-02-28,February,2,2017
112500.0,125000.0,96500.0,374900.0,320000.0,374900.0,2017-03-31,March,3,2017
113250.0,132800.0,99000.0,379000.0,329894.0,375000.0,2017-04-30,April,4,2017
117950.0,137000.0,99900.0,379888.0,339500.0,379000.0,2017-05-31,May,5,2017
118900.0,139900.0,102000.0,379000.0,330000.0,379000.0,2017-06-30,June,6,2017
119900.0,144900.0,102500.0,373550.0,329950.0,378490.0,2017-07-31,July,7,2017
120000.0,145000.0,102000.0,365000.0,329950.0,374900.0,2017-08-31,August,8,2017
119900.0,142000.0,104000.0,375000.0,339950.0,379000.0,2017-09-30,September,9,2017
119900.0,144900.0,102500.0,379900.0,345000.0,384900.0,2017-10-31,October,10,2017
119900.0,144900.0,103950.0,383250.0,345000.0,390000.0,2017-11-30,November,11,2017
119000.0,139900.0,100000.0,379000.0,330000.0,389915.0,2017-12-31,December,12,2017
122102.5,144000.0,104900.0,389900.0,339950.0,398585.0,2018-01-31,January,1,2018
124900.0,145000.0,107000.0,395000.0,355000.0,399000.0,2018-02-28,February,2,2018
125000.0,149900.0,109900.0,399123.0,369950.0,389900.0,2018-03-31,March,3,2018
129900.0,154900.0,111900.0,399900.0,375000.0,394900.0,2018-04-30,April,4,2018
129900.0,157000.0,114900.0,400000.0,385000.0,399000.0,2018-05-31,May,5,2018
129900.0,159900.0,114900.0,408000.0,390000.0,395000.0,2018-06-30,June,6,2018
131900.0,156820.0,115000.0,395000.0,390000.0,392995.0,2018-07-31,July,7,2018
130000.0,155800.0,115000.0,389000.0,385000.0,389000.0,2018-08-31,August,8,2018
134900.0,154900.0,114926.0,399000.0,395000.0,399000.0,2018-09-30,September,9,2018
135000.0,149900.0,114900.0,399900.0,395000.0,399999.0,2018-10-31,October,10,2018
134900.0,154900.0,114900.0,399900.0,397247.5,399900.0,2018-11-30,November,11,2018
140000.0,154500.0,114250.0,405000.0,389000.0,399000.0,2018-12-31,December,12,2018
145000.0,154900.0,110000.0,403500.0,394990.0,399000.0,2019-01-31,January,1,2019
139900.0,159900.0,110000.0,419900.0,399999.0,399000.0,2019-02-28,February,2,2019
139900.0,167900.0,114500.0,425000.0,407450.0,399000.0,2019-03-31,March,3,2019
